date,competitor,channel,activity_type,impact_level,details
2025-08-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2025-08-16,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2025-08-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2025-09-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2025-09-04,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2025-09-06,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2025-09-14,BrandX,google_search,aggressive_bidding,medium,Impression share lost 24% vs prior week
2025-09-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-09-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 16% vs prior week
2025-09-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2025-09-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2025-09-26,BrandX,google_search,aggressive_bidding,high,Impression share lost 21% vs prior week
2025-09-26,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-09-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2025-10-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 20% vs prior week
2025-10-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2025-10-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2025-10-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2025-10-14,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2025-10-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-10-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2025-10-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2025-10-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-11-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2025-11-12,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2025-11-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 25% vs prior week
2025-11-18,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2025-11-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2025-12-01,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2025-12-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 24% vs prior week
2025-12-05,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2025-12-06,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-12-07,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2025-12-08,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2025-12-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 13% vs prior week
2025-12-11,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2025-12-13,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2025-12-17,BrandX,google_search,aggressive_bidding,high,Impression share lost 14% vs prior week
2025-12-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2025-12-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 19% vs prior week
2025-12-22,BrandX,google_search,aggressive_bidding,high,Impression share lost 11% vs prior week
2025-12-24,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2025-12-25,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
2025-12-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 16% vs prior week
2025-12-31,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2026-01-02,BrandX,google_search,aggressive_bidding,high,Impression share lost 17% vs prior week
2026-01-03,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2026-01-08,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2026-01-11,BrandX,google_search,aggressive_bidding,medium,Impression share lost 9% vs prior week
2026-01-15,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2026-01-16,BrandX,google_search,aggressive_bidding,high,Impression share lost 8% vs prior week
2026-01-17,BrandX,google_search,aggressive_bidding,medium,Impression share lost 15% vs prior week
2026-01-19,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2026-01-20,BrandX,google_search,aggressive_bidding,high,Impression share lost 15% vs prior week
2026-01-29,BrandX,google_search,aggressive_bidding,high,Impression share lost 9% vs prior week
2026-01-30,BrandX,google_search,aggressive_bidding,high,Impression share lost 22% vs prior week
2026-01-31,BrandX,google_search,aggressive_bidding,medium,Impression share lost 18% vs prior week
2026-02-08,BrandX,google_search,aggressive_bidding,medium,Impression share lost 21% vs prior week
2026-02-09,BrandX,google_search,aggressive_bidding,high,Impression share lost 18% vs prior week
2026-02-10,BrandX,google_search,aggressive_bidding,high,Impression share lost 12% vs prior week
2026-02-12,BrandX,google_search,aggressive_bidding,high,Impression share lost 23% vs prior week
2026-02-20,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2026-02-21,BrandX,google_search,aggressive_bidding,medium,Impression share lost 22% vs prior week
2026-02-22,MegaRaise,tv,brand_campaign,low,Competitor national TV spot airing
2026-02-26,CrowdFund+,tv,brand_campaign,low,Competitor national TV spot airing
2026-03-03,BrandX,google_search,aggressive_bidding,high,Impression share lost 10% vs prior week
